state,county,netprice
Minnesota,Chisago County,34530.1931
Louisiana,Rapides Parish,14852.1336
Louisiana,Jackson Parish,2654.4992
Indiana,Floyd County,44604.2509
Georgia,Oconee County,34945.0061
Kansas,Clay County,359206.3492
Tennessee,Humphreys County,5857.7607
Pennsylvania,Centre County,24152.776
Illinois,Adams County,10263.2905
Texas,Smith County,34696.8728
Texas,Loving County,2292.964
Oklahoma,Grant County,1333.2052
Delaware,New Castle County,149205.645
Missouri,Cooper County,8546.2979
South Dakota,Miner County,6111.0513
Virginia,Essex County,9215.6119
Ohio,Ashland County,47765.3431
Alabama,Coosa County,3932.3505
Ohio,Sandusky County,39800.5349
Texas,Henderson County,27486.3194
Minnesota,Itasca County,12297.8981
Kansas,Ottawa County,3121.1239
Arkansas,Logan County,7159.911
Texas,Camp County,22576.5616
Wyoming,Goshen County,1138.0259
Idaho,Ada County,140272.8427
Texas,Crane County,1181.3903
Tennessee,McNairy County,3466.3582
Colorado,Crowley County,1419.6739
Arkansas,Jackson County,10099.4963
Maryland,Dorchester County,13158.8618
Florida,Polk County,31876.9556
Ohio,Jefferson County,19384.9933
Missouri,Johnson County,15814.9161
Maryland,Worcester County,62575.3555
Pennsylvania,Warren County,8837.1066
Missouri,Reynolds County,3048.2935
Mississippi,Carroll County,2748.4756
Kentucky,Logan County,16619.4149
Wisconsin,Chippewa County,19999.7882
Iowa,Wright County,14129.1208
Indiana,Hamilton County,176728.3287
Arkansas,Ashley County,3163.0779
Texas,Briscoe County,1658.1419
Georgia,Laurens County,9929.3376
Kentucky,Powell County,9055.2315
Minnesota,Saint Louis County,15797.857
Virginia,Fauquier County,26495.9696
North Carolina,Perquimans County,30182.8974
Texas,Lamb County,4615.3762
Texas,Hood County,47774.9699
Pennsylvania,Elk County,8629.9119
Ohio,Gallia County,6055.023
Nebraska,Wheeler County,4305.8107
Iowa,Clarke County,5163.0535
Kentucky,Russell County,15918.8522
Wisconsin,Washburn County,11298.1585
Minnesota,Freeborn County,24521.8891
Kentucky,Caldwell County,9157.7472
Tennessee,Sevier County,63872.4335
Michigan,Clare County,13877.8599
Pennsylvania,Sullivan County,15505.6976
Oklahoma,Beaver County,1414.581
Georgia,Harris County,6858.0466
Arizona,Mohave County,2558.053
New York,Tioga County,4883.1901
Illinois,Rock Island County,46134.7673
Nebraska,Dakota County,137335.2113
Texas,Rusk County,8683.562
Georgia,Dooly County,4512.7398
New York,Onondaga County,66800.025
Utah,Garfield County,29703.9245
Idaho,Bonneville County,19537.1206
Nebraska,Garfield County,1488.6229
Missouri,Callaway County,8489.416
Ohio,Ross County,20864.4481
South Dakota,Campbell County,408536.5854
Louisiana,Vermilion Parish,21719.3217
Louisiana,Sabine Parish,15341.2329
Virginia,Brunswick County,14032.2268
Kentucky,Livingston County,3757.8449
Iowa,Davis County,5313.7689
Pennsylvania,Northumberland County,12587.2776
Minnesota,Kittson County,938.8554
Florida,Gulf County,206172.0519
New York,New York County,17653.5539
Texas,Wilbarger County,4159.0878
Wisconsin,Wood County,25038.0216
Texas,Delta County,4937.4139
Florida,Citrus County,60914.1738
Florida,Hendry County,23289.9688
Colorado,Archuleta County,11716.9417
Pennsylvania,Perry County,59493.9338
Texas,Stonewall County,1089.7976
Louisiana,Saint Bernard Parish,28200.6341
New York,Oswego County,9007.2812
Kentucky,Lawrence County,3621.5494
Tennessee,Wayne County,4360.6347
Virginia,Patrick County,4198.4595
West Virginia,Randolph County,18671.0767
New York,Schoharie County,8192.1709
Montana,Silver Bow County,10258.7454
Minnesota,Red Lake County,20059.8802
Oklahoma,Pushmataha County,4132.7507
Tennessee,Bradley County,51139.6112
Minnesota,Le Sueur County,45158.7484
Texas,Marion County,3508.0152
Illinois,Pulaski County,3366.6782
Texas,Montague County,8198.6146
Arkansas,Marion County,6121.2196
Virginia,Rockingham County,34461.1884
Florida,Flagler County,22803.5446
Florida,Pinellas County,429401.5257
Kentucky,Adair County,7054.0165
Texas,Midland County,73382.582
Georgia,Butts County,28775.3668
West Virginia,Cabell County,39609.4303
Nebraska,Lincoln County,2906.4592
Nebraska,Hall County,59238.2537
Utah,Morgan County,6601.2337
Indiana,Hancock County,85142.7213
North Carolina,Forsyth County,42671.7117
Idaho,Payette County,16323.5326
Kentucky,Henderson County,10201.662
Virginia,Bland County,2145.2625
Indiana,Blackford County,14282.8961
Virginia,Fredericksburg City County,523370.9121
Kentucky,Taylor County,10876.2632
Nebraska,Frontier County,1398.6725
Kentucky,Warren County,58829.0013
Virginia,Portsmouth City County,338461.4687
Minnesota,Rock County,103762.1832
Kansas,Edwards County,3175.5562
Virginia,Highland County,2897.8092
North Carolina,Robeson County,7683.2461
Iowa,Appanoose County,8385.0528
Tennessee,Haywood County,3304.9275
Ohio,Clinton County,24064.3334
Arkansas,Monroe County,7346.602
Ohio,Fairfield County,63335.7144
Ohio,Lorain County,52364.2318
Missouri,Ray County,13150.173
Nebraska,Colfax County,15972.251
Texas,Upshur County,10185.9586
Georgia,Tift County,30159.3925
Tennessee,DeKalb County,20266.6171
Missouri,Clay County,95860.8272
Arkansas,Baxter County,14195.0954
Georgia,Elbert County,6313.8945
Georgia,Grady County,9928.322
Georgia,Fulton County,228917.8752
Louisiana,Vernon Parish,11583.6902
Virginia,Warren County,29185.023
Virginia,Buchanan County,8749.737
Oklahoma,Marshall County,33502.6535
Oklahoma,Roger Mills County,1848.7489
Texas,Jackson County,5038.2379
Montana,Stillwater County,1954.5881
Virginia,Page County,15327.127
Colorado,El Paso County,18537.1263
Maryland,Cecil County,72086.7092
West Virginia,Logan County,2333.2547
Alabama,Randolph County,13824.598
Ohio,Carroll County,25287.0006
Texas,Fannin County,16121.2845
New Mexico,Luna County,665.4399
Kentucky,Nelson County,31909.5378
North Carolina,Columbus County,14874.6596
Colorado,Logan County,9200.7149
Georgia,Camden County,41200.199
Mississippi,Adams County,5268.3264
Georgia,Treutlen County,8478.2976
Louisiana,Avoyelles Parish,7309.5339
New Mexico,Debaca County,10262.0196
Michigan,Tuscola County,13047.4725
Tennessee,Dickson County,20625.8554
Texas,Live Oak County,5191.6112
Nebraska,Cherry County,1150.9622
Iowa,Jones County,50369.9451
Nebraska,Blaine County,1621.3589
Kansas,Jackson County,3570.5983
Oklahoma,Kiowa County,8037.1445
District of Columbia,District of Columbia County,4582135.4934
Iowa,Worth County,7439.3958
Wisconsin,Dane County,105900.889
South Dakota,Corson County,10400.0
Nebraska,Douglas County,98931.5774
Indiana,Tippecanoe County,107431.6928
Texas,Ochiltree County,7093.5451
Texas,Wise County,21906.9058
Florida,Lake County,43376.3644
North Carolina,Tyrrell County,12275.1164
Texas,Brooks County,2826.0632
South Carolina,McCormick County,9427.6235
Texas,Hartley County,2698.4445
Colorado,Denver County,1366989.9785
Kentucky,Laurel County,27014.4224
Florida,Sumter County,33164.4187
Missouri,Taney County,18655.0503
Illinois,DeKalb County,51040.3288
Tennessee,Grainger County,9900.4094
New York,Westchester County,370314.2379
North Dakota,Sargent County,469.0411
Georgia,Cherokee County,86271.098
Georgia,Peach County,48209.2341
Kansas,Cherokee County,17228.8488
Tennessee,Fentress County,6745.5778
Mississippi,Noxubee County,3177.2056
Illinois,Scott County,355113.6364
Iowa,Humboldt County,14130.5261
Iowa,Hamilton County,54461.9095
Nebraska,Rock County,3287.2474
Nebraska,Dundy County,2726.3714
Wisconsin,Waukesha County,46661.7735
Florida,Franklin County,203653.7314
Ohio,Ottawa County,121418.8083
Georgia,Forsyth County,176672.0231
Florida,Indian River County,14877.5362
Ohio,Highland County,21725.2922
Texas,Denton County,183180.2198
Texas,Crockett County,833.5282
North Dakota,Mountrail County,46070.764
Minnesota,Clearwater County,8036.9294
Indiana,Crawford County,9933.1854
Alabama,Cullman County,18869.8775
South Carolina,Marlboro County,5064.0288
Mississippi,Harrison County,38085.6259
