lwPropertyId,address,city,state,county,zip,price,acres,Rate,Url,types,status,created_at,updated_at
409869404,"",Harper,Texas,Gillespie County,78631,203500,10.99,18516,https://www.landwatch.com/gillespie-county-county-texas-recreational-property-for-sale/pid/409869404,Recreational Property Undeveloped Land Hunting Property,Active,2021-04-07 10:07:39.176119+00,2021-04-07 10:07:39.176146+00
409868878,6835 Lower River Road,Grants Pass,Oregon,Josephine County,97526,4999000,173.32,28842,https://www.landwatch.com/josephine-county-county-oregon-farms-and-ranches-for-sale/pid/409868878,Farms and Ranches Recreational Property Riverfront Property Waterfront Property,Active,2021-04-07 10:07:39.188684+00,2021-04-07 10:07:39.188709+00
409869311,"",Fostoria,Kansas,Pottawatomie County,66549,2175000,719.72,3022,https://www.landwatch.com/pottawatomie-county-county-kansas-recreational-property-for-sale/pid/409869311,Recreational Property Hunting Property,Active,2021-04-07 10:07:39.192226+00,2021-04-07 10:07:39.192244+00
409869410,10639 FM2621,Brenham,Texas,Washington County,77833,2100000,32.7,64220,https://www.landwatch.com/washington-county-county-texas-farms-and-ranches-for-sale/pid/409869410,Farms and Ranches Recreational Property House,Active,2021-04-07 10:07:39.199444+00,2021-04-07 10:07:39.199468+00
409872579,3208 S Steine Rd,Ettrick,Wisconsin,Jackson County,54627,1300000,160,8125,https://www.landwatch.com/jackson-county-county-wisconsin-hunting-property-for-sale/pid/409872579,Hunting Property Horse Property House,Active,2021-04-07 10:07:38.290218+00,2021-04-07 10:07:38.290238+00
409868000,31330 County Road 18,Keenesburg,Colorado,Weld County,80643,795000,15.7,50636,https://www.landwatch.com/weld-county-county-colorado-farms-and-ranches-for-sale/pid/409868000,Farms and Ranches Hunting Property Horse Property,Active,2021-04-07 10:07:38.292663+00,2021-04-07 10:07:38.292679+00
409873140,"",Jourdanton,Texas,Atascosa County,78026,549000,90,6100,https://www.landwatch.com/atascosa-county-county-texas-farms-and-ranches-for-sale/pid/409873140,Farms and Ranches Recreational Property House,Active,2021-04-07 10:07:38.294623+00,2021-04-07 10:07:38.294638+00
409867995,24682 Eureka Place,Princeton,Missouri,Mercer County,64673,511200,160,3195,https://www.landwatch.com/mercer-county-county-missouri-farms-and-ranches-for-sale/pid/409867995,Farms and Ranches Timberland Property Hunting Property,Active,2021-04-07 10:07:38.296823+00,2021-04-07 10:07:38.296839+00
409869082,1400 U.S. 380,Old Glory,Texas,Stonewall County,79540,279000,23,12130,https://www.landwatch.com/stonewall-county-county-texas-farms-and-ranches-for-sale/pid/409869082,Farms and Ranches Recreational Property,Active,2021-04-07 10:07:38.298712+00,2021-04-07 10:07:38.298728+00
409870270,"South Adkins Dixon Road, Lot #WP001",Wickliffe,Kentucky,Ballard County,42087,174900,62.13,2815,https://www.landwatch.com/ballard-county-county-kentucky-farms-and-ranches-for-sale/pid/409870270,Farms and Ranches Timberland Property Hunting Property,Active,2021-04-07 10:07:38.300712+00,2021-04-07 10:07:38.300727+00
